mc,dm
航谊路,261686
四团镇横河路,261155
奉城镇宏达路,261868
柴场村路,262863
奉城镇柴场村,260875
大团镇柴场村,250812
川沙镇柴场村,011302
奉城镇洪东路,261876
奉城镇洪庙四村,260775
奉城镇洪庙三村,260773
奉城镇洪庙洪庙路,260767
奉城镇洪庙路,261946
奉城镇洪庙村,260765
奉城镇洪庙东大村,261222
奉城镇洪庙一村,260769
奉城镇洪庙二村,260771
奉城镇洪庙,269921
盐仓镇川南奉公路,252460
四团镇川南奉公路,260804
川南奉公路,261225
祝桥镇川南奉公路,252735
机场镇川南奉公路,010148
南桥镇川南奉公路,260803
惠南镇川南奉公路,252752
奉城镇洪福路,261878
奉城镇洪盘路,261884
奉城镇农商路,260433
奉城镇洪运路,261890
南桥镇鸿乐路,262255
西渡镇鸿乐路,260952
西渡镇兴中路,260492
振兴中路,006260
复兴中路,004579
南桥镇兴中路,262329
西渡镇鸿学路,260948
南桥镇鸿学路,262257
柘林镇新柘路,261129
湖畔路,263098
柘林镇沪港路,260530
柘林镇钦林路,260843
柘林镇沪新路,260539
柘林镇沪港路,260530
柘林镇沪港新村,260528
柘林镇乐康路,261530
胡桥镇窑桥中心路,261004
柘林镇庄胡路,260511
庄胡公路,283306
柘林镇庄胡支路,262774
环秀路,262923
南行港路,262925
新桥镇沙港村,270497
高东镇沙港村,010856
北沙港路,030864
金泽镇沙港村朝阳,290950
金泽镇沙港村长北,290104
南桥镇汇智路,262264
南桥南星路,262392
南桥镇研发路,262340
南桥镇解放西路,261068
团南中路,262894
云南中路,000509
马桥镇南中街,024151
南桥镇南中新村,260126
河南中路,003531
南桥镇南中路,260835
南亭公路,281621
南桥镇南亭公路,260814
亭林镇南亭公路,281622
南桥新成路,262402
南桥环城西路,262388
南桥体育场路,262400
长江农场工业学校生活区,301884
菜场路,290897
新菜场路,007940
新河镇菜场路,300456
南桥镇菜场路,260965
长江农场菜场生活区,301947
青村镇蔬菜场,261165
菜场街,291662
奉城镇菜场路,261812
南桥镇科技路,260793
漕泾镇金轩路,283318
南桥镇聚贤路,262278
奉城镇东老街路,260257
祝桥镇盐仓老街,250862
豫园老街,008837
泖港镇五厍老街,271119
顾村镇刘行老街,001858
向化镇向化老街,302119
新寺镇老街中路,261122
月浦镇盛桥老街,006882
周浦镇瓦屑老街,250196
练塘镇老街,290322
金汇镇老街,260679
中兴镇汲浜老街,301294
金泽镇商榻老街,290914
中兴镇老街路,301298
柘林镇新寺社区老街,261117
新寺镇老街东路,261120
新场镇东后老街,253020
娄塘镇老街,021423
惠南镇黄路老街,250900
徐行镇老街,021022
宣桥镇三灶老街,252733
浦江镇鲁汇老街,026050
柘林镇胡桥老街,260787
新场镇坦直老街,250663
曹路镇顾路老街,011350
柘林镇新寺老街,262758
虹镇老街,004666
鲁汇老街,007388
金汇镇齐贤老街,260441
航头镇下沙老街,253470
奉城镇西老街路,260471
新寺镇老街西路,261124
金泽镇莲镇老街,292048
四团镇乐安路,261502
四团镇平禄路,262618
柘林镇乐康路,261530
乐谊路,261706
金汇镇苗汇路,261566
民村路,263070
人民村路,254679
南桥运河北路,262406
南桥运河路,262408
南桥镇南虹路,262287
西渡镇南虹路,260809
南桥环城北路,262389
南桥镇新奉路,262322
南桥镇新民弄,262324
南桥人民北路,262394
南桥镇新贤路,262326
南桥镇沪杭支路,262258
南行路,263078
青村镇农工路,260427
农工路,001862
南桥镇农工路,261413
青村镇水琪路,261554
柘林镇农交路,261532
奉城镇东老街路,260257
中兴镇老街路,301298
奉城镇西老街路,260471
金汇镇农民街,260431
新四平公路,261754
四团南街,262634
四团镇鹏贸街,262612
四团镇鹏程东街,262611
四团镇平禄路,262618
新四平公路,261754
四团镇四平公路,260334
四平公路,261732
四团镇平盛路,260316
四团镇安泰路,260264
平安镇沿港路,260722
庄行镇沿港路,260725
奉城镇沿港路,260724
南桥镇气象路,262292
青村镇金王村,260671
奉城镇桥福路,261514
奉城镇头桥广福路,261918
广福路,010002
中兴镇广福路,301292
奉城镇广福路,260058
庄行镇桥建路,261558
惠南镇钦公塘路,252067
四团镇三团港村,260087
青村镇青成路,261522
青村城乡路,262550
青村镇青村南路,261570
清朗路,262927
惠南镇人民中路,250026
人民中路,270020
南桥镇人民中路,260051
新海农场宏伟大队生活区,301577
宣桥镇宏伟港路,252287
唐镇宏伟路,010818
唐镇宏伟新村,010820
南桥镇宏伟路,260564
南桥人民南路,262396
钦江路,005118
采江路,030912
台江路,001240
苗江路,003846
沥江路,023237
张江镇横沔江路,011844
朱家角镇横江路,292406
望江路,006974
同江路,001932
新江路,007994
