mc,dm
东汉阳路,000729
汉阳路,000834
韶嘉路,008388
舟山路,002192
徐泾镇徐南路,291167
金泽镇练西路,290541
北青公路,290207
泰青公路,261736
团青公路,262903
香花桥镇北青公路,290215
重固镇北青公路,290213
华新镇北青公路,290209
金汇镇泰青公路,260919
周浦镇西大街,250444
宣桥镇宣桥大街,252284
菊园新区西大街,022303
祝桥镇民兴大街,250318
张堰镇张堰大街,280470
周浦镇东大街,250264
书园镇书院大街,252565
南大街,004852
泖港镇中大街,270502
新河镇西大街,300439
娄塘镇西大街,020522
惠南镇西门大街,250450
长江农场长江大街,303011
惠南镇东门大街,250274
诸翟大街,006266
枫泾镇北大街,280214
北蔡大街,010406
新场镇新场大街,251024
其昌栈大街,003853
惠南镇北门大街,250248
赵巷镇赵巷路,292250
章浜路,290917
大团镇车站路,252142
新场镇车站路,250136
青浦镇车站路,290101
四团镇车站路,260120
周浦镇车站路,250137
练塘镇车站路,290110
惠南镇车站路,250135
青浦车站路,291758
南车站路,004842
南翔镇火车站路,020324
枫泾镇车站路,280130
川沙镇车站路,010308
康桥镇车站路,252008
车站路,269801
枫泾镇新车站路,280853
徐泾镇前云路,290715
朱家角镇康园路,290867
朱家角镇康业路,290865
城中南路,290690
金泽镇北胜浜街,290211
华新镇纪鹤公路,291954
纪鹤公路,290349
白鹤镇纪鹤公路,290357
徐泾镇双浜路,290163
张堰镇东风街,280227
黄渡镇东风街,021821
练塘镇东风街,290230
朱家角镇东井街,290236
华新镇华富街,290367
邱家港路,292831
徐泾镇光联村,290306
徐泾镇徐泾东路,290797
南桥环城东路,262386
奉城镇城大路,261818
南桥体育场路,262400
四团镇四新南街,262625
奉贤现代农业园区望园路,261320
奉城镇褚聚路,261051
康桥镇秀龙路,253732
南桥秀龙路,262404
港坤路,269820
南桥镇红旗弄,260397
金汇镇红旗弄,260398
南桥镇红旗弄,260397
金汇镇红旗弄,260398
奉城东街,261800
航南路,005673
江航南路,030539
海湾旅游区奉新北路,260633
柘林镇新北路,261119
竖新镇竖新北路,300982
泗泾镇新北路,270904
南桥镇立新北路,260290
三新北路,272091
月新北路,000581
江镇镇道新北路,028402
南桥镇振贤路,260951
海思路,261672
四团镇平港路,262614
庄行镇一新路,260001
瞭海路,262944
柘林镇钦林南路,260840
南桥镇华宛路,260382
南桥人民南路,262396
燎钦公路,261712
吕巷镇田欢路,281711
金张公路,283256
吕巷镇金张公路,280982
新农镇金张公路,280501
张堰镇金张公路,280463
朱泾镇金张公路,280533
干巷镇金张公路,280499
吕巷镇红光路,280322
亭林镇林吉路,283814
金山卫镇建元路,280517
施三路,005149
漕泾镇富漕路,282605
亭林镇九工路,283812
金山卫镇建圩路,283215
漕泾镇致富路,280740
新宾路,007938
朱泾镇新宾路,280657
泖港镇新宾路,270906
朱泾镇贸易南路,282415
山阳镇东平南路,280225
东平南路,283105
亭林镇桃贤路,283231
恒顺南路,284178
亭林镇新建西街,280888
林珍路,284161
枫泾镇兴福利路,280661
亭林镇金展路,283810
东园街,283243
城桥镇陈仓门弄,300079
长兴乡凤蓉路,303204
长兴镇凤蓉路,303313
竖新镇响椿路,301096
城桥镇育麟桥路,300115
城桥镇中街山路,300037
港西镇港东公路,300870
山阳镇体育路,280455
城桥镇体育路,300093
陈彷公路,303115
南桥镇生产弄,260228
堡镇生产弄,300275
江帆路,303400
安寿路,303407
建设镇蟠龙公路,300932
城桥镇蟠龙公路,303415
安润路,303409
陈家镇安润路,302203
平悦路,303419
